Libro Mastro,Categoria,Sottocategoria,Valuta,Prezzo,Conto,Registra,Data,Orario,Tag,Nota,Transazione
Libro Mastro Giornaliero,Regali,Nonna,EUR,5,Portafoglio ,Coggix ,2025-11-17,20:39,,,Entrate
Libro Mastro Giornaliero,Shopping,Amazon,EUR,55,Lavoro,Coggix ,2025-11-16,12:52,,Scarpe top flex,Rimborso
Libro Mastro Giornaliero,Shopping,Amazon,EUR,30,Portafoglio ,Coggix ,2025-11-16,11:23,,,Rimborso
Libro Mastro Giornaliero,Shopping,Amazon,EUR,28,Amazon carta,Coggix ,2025-11-15,18:11,,,Uscite
Libro Mastro Giornaliero,Stipendio,Poolymago ,EUR,30,Lavoro,Coggix ,2025-11-15,18:10,,,Entrate
Libro Mastro Giornaliero,Cibo & Bevande,Alcol,EUR,25,Portafoglio ,Coggix ,2025-11-15,11:21,,,Uscite
Libro Mastro Giornaliero,Salute,Poolymago ,EUR,5,Portafoglio ,Coggix ,2025-11-14,22:27,,,Uscite
Libro Mastro Giornaliero,Stipendio,Web design ,EUR,150,Revolut Bank,Coggix ,2025-11-14,11:18,,,Entrate
Libro Mastro Giornaliero,Salute,Poolymago ,EUR,5,Portafoglio ,Coggix ,2025-11-13,23:39,,,Uscite
Libro Mastro Giornaliero,Regali,Nonna,EUR,10,Portafoglio ,Coggix ,2025-11-13,18:58,,,Entrate
Libro Mastro Giornaliero,Cibo & Bevande,Cena,EUR,"13,3",Portafoglio ,Coggix ,2025-11-13,11:02,,,Uscite
Libro Mastro Giornaliero,Salute,Poolymago ,EUR,5,Portafoglio ,Coggix ,2025-11-12,22:24,,,Uscite
Libro Mastro Giornaliero,Regali,Nonna,EUR,5,Portafoglio ,Coggix ,2025-11-12,22:23,,,Entrate
Libro Mastro Giornaliero,Cibo & Bevande,Caffè,EUR,2,Portafoglio ,Coggix ,2025-11-12,00:34,,,Uscite
Libro Mastro Giornaliero,Shopping,Aliexpress,EUR,"204,55",Revolut Bank,Coggix ,2025-11-11,12:31,,CPU 7800x3d,Uscite
Libro Mastro Giornaliero,Stipendio,Poolymago ,EUR,15,Lavoro,Coggix ,2025-11-08,17:56,,,Entrate
Libro Mastro Giornaliero,Shopping,Amazon,EUR,55,Amazon carta,Coggix ,2025-11-08,14:22,,Scarpe top flex,Uscite
Libro Mastro Giornaliero,Regali,Mamma,EUR,10,Portafoglio ,Coggix ,2025-11-07,09:04,,,Entrate
Libro Mastro Giornaliero,Regali,Nonna,EUR,5,Portafoglio ,Coggix ,2025-11-06,09:04,,,Entrate
Libro Mastro Giornaliero,Salute,Calcio ,EUR,5,Portafoglio ,Coggix ,2025-11-06,09:04,,,Uscite
Libro Mastro Giornaliero,Regali,Nonna,EUR,5,Portafoglio ,Coggix ,2025-11-05,20:34,,,Entrate
Libro Mastro Giornaliero,Salute,Calcio ,EUR,7,Portafoglio ,Coggix ,2025-11-05,11:09,,,Uscite
Libro Mastro Giornaliero,Cibo & Bevande,Cena,EUR,13,Portafoglio ,Coggix ,2025-11-04,20:34,,,Uscite
Libro Mastro Giornaliero,Salute,Calcio ,EUR,10,Portafoglio ,Coggix ,2025-11-04,20:34,,,Uscite
Libro Mastro Giornaliero,Regali,Nonna,EUR,10,Portafoglio ,Coggix ,2025-11-03,19:08,,,Entrate
Libro Mastro Giornaliero,Veicoli,Parcheggio ,EUR,5,Portafoglio ,Coggix ,2025-11-02,05:31,,,Uscite
Libro Mastro Giornaliero,Salute,Ballare ,EUR,25,Portafoglio ,Coggix ,2025-11-02,05:31,,,Uscite
Libro Mastro Giornaliero,Regali,Nonna,EUR,5,Portafoglio ,Coggix ,2025-10-31,11:26,,,Entrate
Libro Mastro Giornaliero,Salute,Calcio ,EUR,5,Portafoglio ,Coggix ,2025-10-30,19:52,,,Uscite
Libro Mastro Giornaliero,Regali,Nonna,EUR,5,Portafoglio ,Coggix ,2025-10-30,19:52,,,Entrate
Libro Mastro Giornaliero,Salute,Calcio ,EUR,5,Portafoglio ,Coggix ,2025-10-28,22:28,,,Uscite
Libro Mastro Giornaliero,Stipendio,Poolymago ,EUR,3,Lavoro,Coggix ,2025-10-28,18:29,,,Entrate
Libro Mastro Giornaliero,Regali,Nonna,EUR,5,Portafoglio ,Coggix ,2025-10-28,12:28,,,Entrate
Libro Mastro Giornaliero,Salute,Calcio ,EUR,5,Portafoglio ,Coggix ,2025-10-27,23:22,,,Uscite
Libro Mastro Giornaliero,Regali,Nonna,EUR,5,Portafoglio ,Coggix ,2025-10-27,23:22,,,Entrate
Libro Mastro Giornaliero,Stipendio,Lago d'averno,EUR,40,Lavoro,Coggix ,2025-10-26,14:39,,,Entrate
Libro Mastro Giornaliero,Stipendio,Poolymago ,EUR,45,Lavoro,Coggix ,2025-10-25,21:35,,,Entrate
Libro Mastro Giornaliero,Salute,Calcio ,EUR,5,Portafoglio ,Coggix ,2025-10-24,22:20,,,Uscite
Libro Mastro Giornaliero,Regali,Nonna,EUR,5,Portafoglio ,Coggix ,2025-10-24,19:25,,Nonna,Entrate
Libro Mastro Giornaliero,Salute,Calcio ,EUR,"9,5",Portafoglio ,Coggix ,2025-10-22,22:33,,,Uscite
Libro Mastro Giornaliero,Regali,Nonna,EUR,10,Portafoglio ,Coggix ,2025-10-22,19:20,,,Entrate
Libro Mastro Giornaliero,Veicoli,Benzina,EUR,20,Portafoglio ,Coggix ,2025-10-21,18:15,,Mamma,Rimborso
Libro Mastro Giornaliero,Salute,Calcio ,EUR,5,Portafoglio ,Coggix ,2025-10-20,23:47,,,Uscite
Libro Mastro Giornaliero,Veicoli,Benzina,EUR,"18,65",Portafoglio ,Coggix ,2025-10-20,23:46,,,Uscite
Libro Mastro Giornaliero,Regali,Nonna,EUR,5,Portafoglio ,Coggix ,2025-10-20,20:29,,,Entrate
Libro Mastro Giornaliero,Shopping,Giochi,EUR,"1,58",Trade Republic,Coggix ,2025-10-20,20:19,,Demone slayer 1,Uscite
Libro Mastro Giornaliero,Stipendio,Lago d'averno,EUR,35,Lavoro,Coggix ,2025-10-19,10:56,,,Entrate
Libro Mastro Giornaliero,Veicoli,Pedaggio,EUR,1,Portafoglio ,Coggix ,2025-10-18,17:19,,,Uscite
Libro Mastro Giornaliero,Regali,Nonna,EUR,10,Portafoglio ,Coggix ,2025-10-16,19:56,,,Entrate
Libro Mastro Giornaliero,Cura,Capelli,EUR,15,Portafoglio ,Coggix ,2025-10-15,13:19,,,Uscite
Libro Mastro Giornaliero,Regali,Mamma,EUR,20,Portafoglio ,Coggix ,2025-10-15,13:19,,,Entrate
Libro Mastro Giornaliero,Regali,Mamma,EUR,10,Portafoglio ,Coggix ,2025-10-14,13:23,,,Entrate
Libro Mastro Giornaliero,Veicoli,Benzina,EUR,10,Portafoglio ,Coggix ,2025-10-13,13:22,,,Uscite
Libro Mastro Giornaliero,Cibo & Bevande,,EUR,2,Portafoglio ,Coggix ,2025-10-13,13:21,,,Uscite
Libro Mastro Giornaliero,Stipendio,Lago d'averno,EUR,40,Lavoro,Coggix ,2025-10-12,20:35,,,Entrate
Libro Mastro Giornaliero,Stipendio,Poolymago ,EUR,36,Lavoro,Coggix ,2025-10-11,17:49,,,Entrate
Libro Mastro Giornaliero,Salute,Calcio ,EUR,6,Portafoglio ,Coggix ,2025-10-11,00:31,,,Uscite
Libro Mastro Giornaliero,Regali,Nonna,EUR,5,Portafoglio ,Coggix ,2025-10-10,00:31,,,Entrate
Libro Mastro Giornaliero,Shopping,Giochi,EUR,"2,08",Trade Republic,Coggix ,2025-10-09,18:32,,,Uscite
Libro Mastro Giornaliero,Shopping,Giochi,EUR,"1,64",Trade Republic,Coggix ,2025-10-09,18:32,,,Uscite
Libro Mastro Giornaliero,Abbonamenti ,ChatBotAI,EUR,4,Trade Republic,Coggix ,2025-10-09,18:31,,Chatgpt,Uscite
Libro Mastro Giornaliero,Salute,Calcio ,EUR,"9,5",Portafoglio ,Coggix ,2025-10-08,01:41,,,Uscite
